"Data Source","World Development Indicators",

"Last Updated Date","2017-03-23",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Bangladesh","BGD","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","124","112","95","99","116","104","151","153","136","162.1","156.3","136.3","141.5","166.6","436","437.3","396.8","453.9","486.2","561.6","688","959.8","1066","1239.9","1546.8","1585.6","2085.9","1970.6","","","",
"Bulgaria","BGR","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","983","","","","1079","1158","1125","1089","1219","1216","1169","1218","1380","1024","958.6","954.1","985.4","929","867.3","1527.4","1482.3","1471.4","1506.4","1603","1905.1","1777.5","2371.6","2269.4","2453","2505.1","2434.3","2678.8","2677.3","","","",
"Bahrain","BHR","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","24","19","31","53","46","41","34","35","44","42.2","36.8","36.2","30.4","34.9","73.2","79.2","54.2","118.9","130.7","156.6","177.3","176.7","161.1","189","201.7","180.2","157.2","209.7","","","",
"Bahamas, The","BHS","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","4","3","1","0","2","1","1","1.3","1.7","0.8","1.4","1.2","1.7","5.2","4.7","5.2","3","6.9","5.9","11.1","6","9.7","8.8","10.9","7.8","15.8","","","",
"Bosnia and Herzegovina","BIH","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","0","","","","0","0","0","0","0","0","0","0","14","11","10.2","6.6","10.7","13","9.5","25.7","34.6","47.1","59","110.4","180.4","199.5","251.4","336.1","369.3","451.9","481.3","493.7","437.3","","","",
"Belarus","BLR","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","30","708","1021","650.2","567.8","596.3","583.4","578.6","1011","1055.5","1054.9","992.4","1076.4","1207.2","1138","1260.4","1030.5","1160.4","1040.1","1088.3","992.4","1000.6","","","",
"Belize","BLZ","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","1","2","0","1","2","2","1","2.3","1.3","3.7","0.8","2.5","0.5","2","1.7","4.8","4.5","5.7","4.9","1.8","3.6","9.6","11","3.4","8.5","9.6","","","",
"Bermuda","BMU","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","5","11","8","14","17","11","15","23","24","23.9","21.3","34.7","28.2","40.7","34","44.5","42.1","48.9","45","59.9","69.9","79.7","96.6","86.2","78.9","85.8","85.1","89.4","","","",
"Brazil","BRA","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","1438","","","","1465","1777","1766","1766","2117","2374","2640","3107","2885","3073","3436.1","3813.4","4497.6","5234.1","5859.3","11609.4","12879.5","14674","15874.4","18861.9","21420.4","27507.1","30174.1","34534.4","37811.7","40530.5","43218.6","47302.1","48622.2","","","",
