"Data Source","World Development Indicators",

"Last Updated Date","2017-03-23",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Ethiopia","ETH","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","45","60","71","58","70","93","88","84","86","93.7","97.3","95.4","79.1","109.5","155.9","167","190.6","205","208","218.4","279.9","327.9","355.9","423.8","475.1","581.5","718.7","801.7","","","",
"European Union","EUU","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","129008.232470775","141584.325280112","137980.26364042","145470.515286134","157186.376311351","160480.424342923","163997.900013668","178260.030980797","179903.879972978","192108","196496.6","204588.2","209480.1","215389.2","217832.5","338988.5","344152.3","354304.2","368404.4","402907.1","447790.7","470351.6","495074.9","515794.1","541144.5","552780.2","575024.4","597675.6","605535.9","","","",
"Fragile and conflict affected situations","FCS","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","917.583475244312","800.395291943634","887.114547586136","874.257815012424","754.881245894262","628.482525651502","664.629015995094","614.665645911547","652.22854649503","605.750411417065","540.392296606683","633.999377477797","599.928319287868","613.269546811616","1268.04093697852","1268.1435874227","1164.72656010856","1452.59493987606","1506.82678815264","1726.6684012722","2018.11732453648","2283.52170768417","2609.47568551708","2991.70730152788","3565.14943546777","3857.76433210748","4193.60061004993","4336.47697715262","","","",
"Finland","FIN","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","2173","","","","2485","2831","2829","2789","2981","3071","3211","3438","3603","3974","4077","4329.6","4452.2","4513.4","4719.4","6602.1","7053","7028.1","7258.8","8127","8644.3","8892.7","9053.6","9208","9458.3","9471.5","9828.3","9985.8","10156.7","","","",
"Fiji","FJI","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","27","25","24","12","14","16","10","27","11","10.2","9","12.5","10.7","14.1","24.5","27.6","32","33.1","55.1","58.5","71.8","80.2","60.9","70.3","56.8","58.3","59.5","84","","","",
"France","FRA","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","18567","","","","18422","20874","20152","21409","22686","22937","23518","26172","26225","28266","28847.5","29746","30321.9","31393.1","31345.4","47509.7","48001.9","48419.1","49849.8","53953.1","58833","61646.6","63484.1","66206.3","68329.9","69063.2","70666.9","72424.4","72554.5","","","",
"Faroe Islands","FRO","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1","0","0","0","0","1","0","0","4.5","3","0","0.3","1.7","2.3","1.1","0","2.3","2.4","4.7","2","6.2","4.3","3.8","7.7","4.9","4.2","5.9","","","",
"Gabon","GAB","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","16","12","20","11","14","14","14","11","14","16.2","11.5","18.7","21.4","23.3","25.2","27.2","28.6","30.1","34.3","44.1","43.1","34.3","43.1","50","41.9","59.4","54.4","50.3","","","",
"United Kingdom","GBR","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","30794","","","","32256","38168","36682","36509","38195","39069","39950","42404","42456","45436","45497.6","46213.9","45883.9","46141.3","46787.9","70089","66829.1","68394.3","69741","74711.6","81156.4","84991.3","88312.4","88851.5","91757.6","91788.5","94376.1","96764.7","97332.2","","","",
"Georgia","GEO","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","12","158","136","118.2","126.6","135.9","127.8","131.9","215.7","189.7","201.3","179.4","251.7","277.5","329","271.6","323.7","385.8","340.4","451.4","415.2","468.4","","","",
"Ghana","GHA","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","25","32","37","36","40","47","72","52","67","58.3","71.8","81.9","71.3","74.1","127.9","116.3","133.9","141.8","168.4","183","195.5","262.8","285.3","361.8","402.8","485.4","539.7","583.3","","","",
"Gibraltar","GIB","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","2","4","3","3","3","3","2","2.8","2.6","2.8","3","2.1","2.2","10.8","6.4","3.1","10.2","6.8","17.2","14.1","11","10.3","11.3","10.6","11.9","11.5","","","",
"Gambia, The","GMB","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","22","21.8","24.4","30","23.4","19.7","30.5","32.5","22.8","29.6","36.9","36","46.2","35.9","41.7","42.7","45.4","35.6","37.9","45.1","","","",
"Guinea-Bissau","GNB","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","0","1","1","1","2","3","2","1.6","3.5","4.3","2.2","6.9","1.5","2.2","3.8","8","9.6","9.1","5.7","12.1","6.9","8.3","5.8","10.4","13.1","12","","","",
"Equatorial Guinea","GNQ","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","2","1","0","1","3","1","0.7","0.5","0.7","0.3","2.2","0","1.7","0.5","2.2","4.1","1.5","3.7","3.8","2.6","5","4.2","3.2","3","2.4","","","",
"Greece","GRC","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","793","","","","935","1158","1251","1239","1518","1397","1598","1736","1759","1974","2058.1","2249.3","2434","2611.3","2625.9","4879.8","5350.4","5900.2","6329.5","7595.6","9055.5","10500","10838.3","11532.9","11802.2","11668.3","11599","11674","11370.4","","","",
"Grenada","GRD","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","2","1","0","0.5","0","1.9","1","2.5","2.4","3.7","5.6","5.7","14.1","19.3","22.8","18.3","15.3","26","26.9","33.8","","","",
"Greenland","GRL","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","19","23","18","15","20","28","25","23","22","19.5","23.8","17.9","16.1","15.8","22.3","21.7","21.9","26.4","28.7","52.9","37.9","34.5","41.8","64.6","53.7","48.8","73.2","80.5","","","",
"Guam","GUM","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","5","7","4","4","5","6","8","4","4","7","2.8","6.3","3","4.2","9.2","8.3","8.9","6.9","11.4","20.2","10.1","14","10.6","10.1","20.1","10.9","13.4","10.7","","","",
"High income","HIC","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","338358.586507669","403092.778967442","392826.79828966","410736.08237794","437483.565209155","449032.763892961","456671.884052464","485106.829711157","486214.437285484","508712.526480175","508307.173018306","522570.699661966","526568.807832656","537905.24269456","541621.484846033","824564.108791688","832644.037115411","865149.377734727","899525.325598203","997870.335267233","1103014.37665768","1150222.41112388","1191676.84489981","1225435.85902309","1268545.53546069","1300886.25631461","1351590.1392343","1390132.65116769","1400796.29825949","","","",
"Hong Kong SAR, China","HKG","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","0","","","","0","84","634","621","775","827","783","824","959","1075","","","","","","","","","","","","","","","","","","","","","","",
"Honduras","HND","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","4","1","2","5","6","9","3","6","5","5.5","7.9","10.6","11.2","12.4","12.7","8","11.1","10.8","14","15.2","12.4","11.8","16.4","16.4","22.3","19","25.6","20","","","",
"Heavily indebted poor countries (HIPC)","HPC","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","678.88296352458","672.788861518076","735.598593652618","686.55868740911","712.202645173118","737.846602937125","813.493336676736","791.349535248573","833.060491718483","818.563605710637","823.764645238612","901.680218167325","884.167006382721","894.581930911411","1398.32223727493","1446.9612730118","1546.77929682225","1828.30272623354","1994.75745278532","2245.72758863119","2583.12187647819","3056.554181364","3204.45842049627","3596.1","4063.7","4661.32354056383","4900.75316262465","5216.99210328231","","","",
"Croatia","HRV","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","0","","","","0","0","0","","","","","17","575","508","600","640.3","580.5","624.6","647.1","1727.3","1753.2","1966.5","2225.5","2518.2","3008.7","2931","3480.1","3821.6","4176.6","4243","4666.5","4479.2","4359","","","",
"Haiti","HTI","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","5","3","4","2","5","6","1","3","2","3.2","1.2","1.7","2.7","0.7","6.5","3.9","6.1","5.6","7.5","7.3","15.1","10.8","6.9","11.2","13.3","17.1","16.5","27.8","","","",
"Hungary","HUN","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","2107","","","","1907","1920","1781","1714","1847","1722","1806","1824","1718","1774","1763.8","1813.1","1991.5","2201.9","2199.6","3978.1","3904.7","4147.7","4152.7","4597.2","5303.2","5331.4","5676.2","6196","5893.7","5718.8","6250.6","6340.5","6249.3","","","",
"IBRD only","IBD","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","27275.0777881379","30766.2144403129","29727.1098902504","31410.8537266154","34796.9146934436","35113.5145079385","35870.964512099","38548.8622764159","62594.9106712238","66361.1616930723","65008.6756681897","68200.5708909854","70934.6535731473","74063.9798931345","78510.1697610904","163438.618728686","182764.072291982","194407.0023792","212237.148455187","267779.691986121","339886.424466338","388030.512920481","435575.737033224","498005.2","566974.2","625183.852104391","711686.4","756345.143925416","804571.591359951","","","",
"IDA & IBRD total","IBT","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","29562.6297843892","33438.2511259307","32338.748301936","34226.2888794767","37620.0194164029","37881.8490768265","38563.822466395","41361.8679762297","65941.9696091222","69544.483208566","68171.5799697118","71150.3996481292","74012.6461986853","77006.546324291","81563.2625366407","169364.404863354","188917.400280927","200886.004497692","219371.332789992","275820.179217081","349735.541071842","399907.164925929","449777.84672408","513680.717858159","585380.647147161","646124.389137772","735274.900380633","780955.585164481","830664.196242608","","","",
"IDA total","IDA","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","2699.4409823742","2640.60991318582","2850.59428422155","2840.52151289921","2780.1799858746","2695.22072615346","2809.98208820134","3253.32032949529","3069.36845302948","3051.58237755662","2832.47886391057","2955.95989407462","2814.59317500249","2917.35169234086","5643.16671748248","5834.26053156066","6139.1497777109","6763.57610003551","7567.49949681161","9246.68016821759","11192.5593831717","13439.0711267136","14799.7894246374","17412.7204055745","19848.8043871791","22343.8868699255","23285.085189346","24682.2406849655","","","",
"IDA blend","IDB","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","1526.87108487692","1503.62460469194","1609.29042371456","1644.16014399203","1592.38389267094","1501.51128831149","1434.07499185399","1833.32307864644","1712.64355619028","1682.1719767701","1511.87255940051","1570.30726716854","1465.1177784465","1526.00109283576","3285.09664507825","3375.91447449528","3611.7534020675","3859.4124834447","4346.21141434274","5664.41754679289","7088.58990497836","8488.77055320566","9459.77485239046","11302.9981657211","12833.4559071047","14520.254345065","14712.8423572879","15818.5700965591","","","",
"Indonesia","IDN","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","72","66","59","86","104","89","86","103","120","129.5","141","146.1","136","162.7","337.3","288.4","283.8","311.3","364.7","468.6","552.5","542.3","643.7","956.1","1281.3","1769.3","1992.1","2927.7","","","",
"IDA only","IDX","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","1173.45309040921","1136.04225862145","1242.70124796801","1191.73107959432","1185.68781854161","1197.78667383285","1399.02447517097","1412.29108657345","1351.22504116344","1364.35767633951","1316.25272560753","1381.20141222245","1345.55947017789","1387.22487681114","2347.07392667389","2447.1214266699","2514.92248003038","2891.72518340774","3207.14569988454","3561.95647325091","4077.39240869111","4918.57625629484","5304.09913057799","6065.98655691189","6965.920088321","7767.32344158881","8517.36256277738","8803.4888409567","","","",
"Isle of Man","IMN","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","11725","","","","9586","9925","9051","8882","9744","9200","9517","10100","9763","9928","9370.1","9752.8","9617.6","9944.8","10190.4","20873.8","21944.4","23622.8","26099.7","28734.7","33090.1","38321.9","43421.1","49101.4","55646.4","65915.9","80515.4","88272.7","93349.4","","","",
"Not classified","INX","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","700","","","","653","776","728","790","826","902","915","946","1003","1168","1217.7","1253.8","1330.8","1520.5","1458.9","2463.7","2602","2796.6","2904.3","3703.8","4588.9","4700.6","5323","5615.6","6269","6835.2","7189.5","6926","6874","","","",
"Iran, Islamic Rep.","IRN","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","96","92","86","91","94","126","150","175","233","279.5","317.7","390.6","541.3","664.8","1451.7","1772.9","2518.3","3458.6","4844.1","6919.6","9936.9","13187.7","17251.4","21100.2","25683.2","32975.5","33720.5","32964.8","","","",
"Iraq","IRQ","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","222","187","225","232","164","81","79","74","67","50.8","36.2","40.4","24.7","22.9","84.4","88.7","101.1","117.5","90.7","140.8","243.9","240.7","318.8","408.2","606.6","792.5","945.3","946.5","","","",
"Iceland","ISL","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","34","","","","57","59","56","69","68","89","104","105","122","137","155.9","145.3","142.6","174.2","143.2","203.8","232.4","294.8","252","299.9","345.2","347.5","359.9","424.4","489","550.5","539.8","627.5","575.9","","","",
"Israel","ISR","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","3698","","","","4233","4989","4921","4916","5134","4968","4873","5234","5575","5559","5740.7","5750.7","6047.4","6020.3","5928.8","8541.9","8544.6","9046.1","9268.9","9998.1","10221","10862.2","11065.4","11187.5","11072.9","10736.4","11017.1","11517.6","11300.2","","","",
"Italy","ITA","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","7803","","","","9377","10114","10163","11229","12509","13062","13778","15462","15279","17000","17880.5","19233.8","19401.6","20056","20327.1","33492.8","34695.2","36284","39096.4","42390.1","46243.2","49272","52883.5","54676.8","57620.2","57362.5","58974.9","63310.5","66310.3","","","",
"Jamaica","JAM","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","57","89","76","62","56","57","46","53","62","70","57","58.3","46.8","50","103.9","134.6","133","141.4","154.3","135","140.9","165.9","198.2","202.8","156.6","200.9","208.4","176.4","","","",
"Jordan","JOR","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","119","142","161","174","176","148","135","130","144","154.1","163.1","200.5","220.4","230.3","517.6","510.5","581.2","636","742.2","790","949.5","1138.9","1312.6","1406.8","1510.4","1524.5","1514.2","1504.3","","","",
"Japan","JPN","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","25088","","","","29618","31957","30920","34435","36569","38570","39590","44143","43339","46692","47067.9","50345","51462.4","53838.3","55273.8","86232.3","84948.5","85681.8","87389.1","93882.3","103860.8","105130","103023.2","102616.6","104732.1","104015","104795.2","104313.9","103376.6","","","",
"Kazakhstan","KAZ","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","19","250","191","157.6","141.4","115.3","128.5","104.6","174","163.1","179.4","212.9","194.6","229","209.9","206.7","217.1","265.5","315.3","376.4","509.9","879","","","",
"Kenya","KEN","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","267","","","","251","238","232","291","300","255","260","295","346","280","287","274.2","271.9","265.4","242.6","350.3","396.4","426.5","405.9","435","452.6","487.9","575.1","617.1","692.7","733","840.2","765","871.6","","","",
"Kyrgyz Republic","KGZ","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","26","30","13.2","12.3","14.4","17.6","13.9","27","26.2","24.4","19.2","27.2","42.9","49.5","37.6","50.4","35.4","34.7","46.2","51.3","60.4","","","",
"Cambodia","KHM","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","1","0","1","1","1","3.7","2.5","4.3","3.7","7.2","13","13","24.2","24.4","36.4","36.8","45.8","50.9","50.8","61.1","57.9","67.4","76.2","84","","","",
"Kiribati","KIR","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1","0","0","0","1","0","0","0","0","0","0.3","0","0","0","0.5","0","0.1","0","0","0.4","1.8","0","0.3","0.3","0","0","1.1","","","",
"St. Kitts and Nevis","KNA","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0.3","0","0","1.5","1.5","1","0.3","0.2","0.7","2","1.9","2","4","3.1","3.7","4.1","9.3","13.2","","","",
"Korea, Rep.","KOR","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","168","","","","424","516","672","771","1035","1170","1361","1759","2184","2931","3803.2","4770.9","5802.2","7056.6","8478.2","14958.1","17120.5","18344.7","21801.9","26740.1","30925.9","36030.3","40199.8","43095.2","44684.1","49539.1","53821.3","56897","58844.1","","","",
"Kuwait","KWT","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","226","259","304","326","368","209","104","112","186","189.3","208.9","224","234.8","295.9","461.6","493.1","468.7","485.2","538.8","610.2","658.9","711.4","748.7","782.9","740.9","798.7","820.8","843.8","","","",
"Latin America & Caribbean (excluding high income)","LAC","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","3980.10808349072","4808.95533386713","4942.12024317472","4837.01134596318","5523.58071971256","5921.05426434296","6090.25584883297","6908.55895072939","6921.56376775219","7525.78757404245","8463.03473317051","9416.66683876656","10541.8421078647","11807.3873866788","12727.2837375639","23731.2311649444","25655.931102596","28238.4550252824","30051.2355922058","34272.0231801999","38670.7315103656","47064.9639544001","50436.7473413143","57663.5980096492","62748.2623683319","66742.1","70908.6","76720.9","78966.9","","","",
"Lao PDR","LAO","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","1","1","1","0","1.8","0.9","2.4","5.5","3.8","8.6","5.9","11.9","17.7","37","22.6","42.8","26.2","35","40","43.7","48.2","60.4","69","","","",
"Lebanon","LBN","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","94","66","54","61","29","47","52","54","62","54.7","62.6","103.2","102.6","124.3","356.4","372.1","343.3","431.9","482","549","622","656.6","723.5","761.4","778.8","904.1","1012","1050.3","","","",
"Liberia","LBR","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","5","4","4","3","6","7","5","1","1","0.3","1","0.3","1.3","0","0","0.9","0.7","2.3","1.6","1.3","4.7","2.8","1.4","3.7","3.9","9.6","7.8","8.3","","","",
"Libya","LBY","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","43","43","43","41","36","40","33","25","31","33.9","20","16.2","20.6","17.8","58.1","45.4","36.7","53.9","60.7","76.5","93.1","109.7","139.7","243.5","331.6","139.8","181","231.4","","","",
"St. Lucia","LCA","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","4","1","5","2","0","2.8","1","2.7","0.5","0.3","0","1","0","0","0.3","0.5","0.9","0.2","0","2.3","1","0.2","0.8","","","",
"Latin America & Caribbean","LCN","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","4669.11772462852","5624.37869200333","5695.98186344537","5662.70740752508","6437.9650177061","6920.00563150051","7085.41605615669","7954.21102634262","8014.6686728565","8545.68833473673","9590.59799198493","10581.2693889064","11780.316043895","13104.2097369337","14091.8396718913","25726.3286088705","27794.33521857","30816.7679835919","32729.5523424078","37270.7407151071","42046.5202031288","51035.0857927742","54848.2968233943","62602.903266301","68089.3923543523","72200.3648693409","76930.9135024896","83281.0825782636","85553.5467314228","","","",
"Least developed countries: UN classification","LDC","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","770.547009317207","718.067894064706","768.814741701788","705.154922325206","728.175443844414","719.680063666229","829.74877928577","818.846970506833","792.738806229804","853.098579741956","829.071917424802","847.324479207638","846.108369442001","892.720327519045","1615.89181539783","1687.56484559642","1714.62832170755","2053.13645991147","2250.65082087976","2532.85646360053","3007.05114630447","3611.46011938083","3784.54495032625","4447.6892670541","5108.362586745","5675.19229137608","6370.59803634208","6556.55205265014","","","",
"Low income","LIC","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","535.950249230435","504.805440558448","596.820609470368","567.468776217727","600.560907876212","593.207100840993","629.824823115129","659.175882833115","689.806732407145","677.578340332655","694.08724259373","728.837462785253","702.749320940591","712.234906840079","1240.60150058063","1292.69677273091","1281.28672950087","1524.83709957129","1654.24868835034","1830.10685760956","2197.2082387457","2475.25977055822","2339.6472425837","2723.17259801028","2973.39081316776","3373.82142855207","3654.28580158574","3908.67941227496","","","",
"Liechtenstein","LIE","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","6","5","7","7","6","8","8","7","13","12.8","8.9","11.7","5.3","16.6","16.2","9","6.7","13.5","25.7","35.1","34.4","25","33.1","20.7","28.1","29.2","32.7","26.3","","","",
"Sri Lanka","LKA","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","52","94","107","101","106","84","82","83","85","85.4","71","62.2","83.5","86.9","198.1","199.1","226.8","260","251.6","329","381.3","433.9","491","480.8","498.1","577.1","595.8","713.1","","","",
"Lower middle income","LMC","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","12936.816362265","13710.5547714317","12727.6384000307","12822.0388138329","13923.9728528868","13274.748131623","13735.2922446735","14315.801161227","17216.4541985413","17399.8104878","16496.9116915162","16573.5469278198","16409.0248340323","16722.7913076528","17270.0465965881","34575.5528329604","36958.8007978801","38560.4855575749","41261.3402394913","46263.4999543613","53085.1361185255","60668.4554630792","68919.4686437593","77588.5244234887","88689.4776926814","102960.073603401","122520.518768211","133217.072920238","141886.550438386","","","",
"Low & middle income","LMY","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","24861.4504104342","28698.2604082195","27922.7168390805","29447.1666612487","32561.7103476343","33011.3795489584","33769.9487175066","36374.9692652869","60615.1457505013","64205.1457024723","62143.6386325717","65131.8263190192","67899.6198787434","70650.2885105741","74828.6807046197","155945.694617132","174492.078053452","184370.164048429","201113.689995575","254864.567659299","326192.816797486","374477.697105632","423155.429263752","484438.111184851","555199.226135611","614653.546722649","701800.09726531","745117.775839536","793273.924623567","","","",
"Lesotho","LSO","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","7","5","7","4","3","5","4","7","5","2.5","1","2.3","1.3","2.6","7.1","9.3","6.8","6.4","5.9","4.7","9.8","9.6","12.9","8.7","8.6","10.3","18.2","12.4","","","",
"Late-demographic dividend","LTE","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","11236.3902191916","13221.0398845395","13121.4937460741","15322.6314330093","17159.4655166894","18182.3600183218","18290.6730119925","20113.9434724955","41225.7283287851","44431.5730656474","43631.4037544556","45884.256562375","48144.0579953421","50392.8463185141","53445.5038162397","115057.585354519","130084.18996344","136446.664297424","148078.489443197","194820.544672432","256864.326255379","292562.477627722","327951.490066549","378029.337969902","429895.099508227","470402.097378907","531192.710668609","563347.681510268","603191.080639039","","","",
"Lithuania","LTU","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","5","149","189","178.9","188.6","215.8","257.1","273.9","459.2","491.8","708.1","793.9","1104.1","1403.1","1564.2","1582.1","2309","2131","2239.2","2171","2169.4","2185.4","","","",
"Luxembourg","LUX","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","13","","","","12","9","10","7","11","17","15","23","22","26","27.8","17.9","33.6","32.1","28.9","59.7","62.6","77.7","83.3","143.2","144.1","188.2","213.9","309.3","384.9","451.4","572.1","576.2","732.2","","","",
"Latvia","LVA","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","37","180","159","162.9","143.5","159.3","161.6","179.3","258.1","294","311.7","246","263.8","403.1","341.3","435.4","554.8","648.7","728.6","1215.5","1135.8","1206.8","","","",
"Macao SAR, China","MAC","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
